,Symbol,Year,Return,TRI,TB90,MKTCAP,PB
0,TCM,2007,394.1667,34542.6016,3.9,2009.5763,4.8272
1,BB,2007,196.5454,34542.6016,3.9,50392.207,17.3708
2,QUX,2007,52.4324,34542.6016,3.9,914.2384,2.0376
3,TRE,2007,300.0,34542.6016,3.9,2908.6021,2.6323
4,VT,2007,46.1039,34542.6016,3.9,2296.7551,2.1184
5,LNR,2007,89.3727,34542.6016,3.9,1791.8121,2.0731
6,MDI,2007,102.1609,34542.6016,3.9,1035.5814,4.6532
7,ET,2007,112.48,34542.6016,3.9,1918.1101,17.0584
8,SW,2007,89.2187,34542.6016,3.9,662.2232,3.3381
9,NTR,2007,158.3199,34542.6016,3.9,29561.9219,6.0249
10,OIL1,2007,90.413,34542.6016,3.9,2810.2747,5.2046
11,VRS1,2007,325.7028,34542.6016,3.9,622.75,3.6446
12,AXP1,2007,31.8211,34542.6016,3.9,1124.9443,1.5986
13,SVC,2007,,34542.6016,3.9,771.8656,5.4759
14,ELR,2007,80.315,34542.6016,3.9,1528.5818,1.8666
15,AGU,2007,87.9626,34542.6016,3.9,6445.6694,4.0877
16,MG,2007,19.5411,34542.6016,3.9,10483.0146,1.2566
17,AL,2007,109.7164,34542.6016,3.9,38855.332,3.0089
18,NCX,2007,9.1915,34542.6016,3.9,3194.3237,3.4441
19,EQN,2007,120.0,34542.6016,3.9,1972.0448,3.9819
20,IOL,2007,111.3636,34542.6016,3.9,1113.1356,10.144
21,SCL,2007,85.8289,34542.6016,3.9,2491.2971,4.3214
22,SCC,2007,27.5294,34542.6016,3.9,2916.5293,3.4336
23,OTEX,2007,45.727,34542.6016,3.9,1318.462,2.3879
24,EMP.A,2007,12.1356,34542.6016,3.9,1547.3501,1.5353
25,SAP,2007,34.4371,34542.6016,3.9,5194.77,3.6509
26,ACO.X,2007,35.3991,34542.6016,3.9,3264.8979,2.1489
27,AGF.B,2007,60.0913,34542.6016,3.9,3164.165,3.0294
28,BLS1,2007,4.2755,34542.6016,3.9,6353.5815,3.3295
29,RCI.B,2007,68.3509,34542.6016,3.9,30668.1426,7.3387
30,RAL,2007,160.0719,34542.6016,3.9,835.9615,5.8652
31,MRE,2007,115.8667,34542.6016,3.9,1054.7139,1.7795
32,BBD.B,2007,84.5238,34542.6016,3.9,10858.8721,4.2122
33,TA,2007,23.1466,34542.6016,3.9,6067.2183,2.9515
34,CCL.B,2007,45.2274,34542.6016,3.9,1368.5027,2.0202
35,PJC.A,2007,28.6187,34542.6016,3.9,2247.3638,2.0454
36,SVM,2007,37.9562,34542.6016,3.9,925.2305,8.7258
37,ECA,2007,6.7069,34542.6016,3.9,46618.582,2.3927
38,GIB.A,2007,67.1429,34542.6016,3.9,3450.4937,2.0606
39,IMN,2007,83.4194,34542.6016,3.9,4117.6309,3.3158
40,AVM,2007,91.7582,34542.6016,3.9,1229.0734,2.2024
41,UTS,2007,17.8947,34542.6016,3.9,2395.428,5.3025
42,MBT,2007,4.3515,34542.6016,3.9,3192.0798,2.2374
43,NDN,2007,-7.1332,34542.6016,3.9,2996.0974,1.3894
44,CCA,2007,81.8542,34542.6016,3.9,1498.8645,1.9026
45,WTO,2007,26.8475,34542.6016,3.9,6058.8218,6.6205
46,BPO,2007,-6.6652,34542.6016,3.9,9568.5918,2.957
47,CLL,2007,-9.4293,34542.6016,3.9,726.1821,1.7371
48,SJR.B,2007,47.7108,34542.6016,3.9,10594.7002,5.4877
49,S,2007,49.2049,34542.6016,3.9,3724.979,1.399
50,CCO,2007,-5.725,34542.6016,3.9,15094.3896,4.9713
51,WJA,2007,60.5317,34542.6016,3.9,2051.7388,2.5489
52,SOY,2007,49.1285,34542.6016,3.9,862.7849,3.2814
53,FNX,2007,120.6896,34542.6016,3.9,2413.7566,3.4354
54,POW,2007,24.6921,34542.6016,3.9,16397.4785,2.0196
55,CEF.A,2007,-3.3133,34542.6016,3.9,1091.0309,1.0516
56,CM,2007,19.1336,34542.6016,3.9,32034.998,2.8957
57,FTT,2007,55.2983,34542.6016,3.9,5528.5361,3.3116
58,NB1,2007,12.6807,34542.6016,3.9,1744.1893,1.2928
59,PCA1,2007,14.1102,34542.6016,3.9,26340.9336,2.3919
60,ATA,2008,39.04,34992.8008,2.4,671.5371,1.4624
61,BIR,2008,219.25,34992.8008,2.4,1435.1438,2.9372
62,IOL,2008,-11.5591,34992.8008,2.4,1136.4976,5.7316
63,CR,2008,110.6742,34992.8008,2.4,1067.91,1.6085
64,HPX,2008,28.5444,34992.8008,2.4,922.624,1.3032
65,TOG1,2008,183.8667,34992.8008,2.4,2386.6516,2.1461
66,AGU,2008,86.1347,34992.8008,2.4,14185.3096,3.4758
67,PMCS,2008,17.8746,34992.8008,2.4,1998.7028,2.5971
68,PXE,2008,50.8172,34992.8008,2.4,1178.0902,2.9557
69,NVA,2008,13.6364,34992.8008,2.4,1186.5299,1.6271
70,NTR,2008,97.4353,34992.8008,2.4,56345.7031,8.175
71,RUS,2008,3.0191,34992.8008,2.4,1942.6224,2.1252
72,BBD.B,2008,33.0645,34992.8008,2.4,14468.5039,4.8851
73,TLM,2008,3.5872,34992.8008,2.4,19121.1309,2.1333
74,CFP,2008,-12.1359,34992.8008,2.4,1548.5165,0.8747
75,AGI,2008,18.8929,34992.8008,2.4,1182.5964,1.8471
76,TESO,2008,24.8582,34992.8008,2.4,1334.7764,3.7403
77,TXP,2008,50.1761,34992.8008,2.4,3877.1294,5.4579
78,GEA,2008,105.2811,34992.8008,2.4,1284.9156,3.4405
79,GNA,2008,21.9512,34992.8008,2.4,6491.3252,1.4825
80,BNK,2008,304.1667,34992.8008,2.4,885.1299,7.5475
81,STE,2008,92.6241,34992.8008,2.4,1180.5229,2.3871
82,CLS,2008,42.9253,34992.8008,2.4,1793.514,0.8929
83,ARE,2008,30.2488,34992.8008,2.4,851.7207,2.5575
84,CMT,2008,-6.4182,34992.8008,2.4,1177.5142,1.3477
85,CLL,2008,12.3288,34992.8008,2.4,865.2106,1.8701
86,CNQ,2008,25.5576,34992.8008,2.4,49019.0195,3.6022
87,CSU,2008,13.4179,34992.8008,2.4,498.668,6.6142
88,HSE,2008,21.1355,34992.8008,2.4,39861.0703,3.0938
89,NXY,2008,12.6989,34992.8008,2.4,17655.6055,2.6526
90,RBA,2008,24.1593,34992.8008,2.4,2963.7739,5.8979
91,AXC,2008,16.5805,34992.8008,2.4,6350.7466,2.7788
92,TYK,2008,41.0935,34992.8008,2.4,1491.0961,4.0275
93,ESI,2008,29.2432,34992.8008,2.4,3661.147,2.6623
94,VT,2008,8.8889,34992.8008,2.4,2903.8501,1.452
95,GRT.UN,2008,-32.8559,34992.8008,2.4,1050.9301,0.5525
96,TIH,2008,25.5311,34992.8008,2.4,2115.9451,3.0269
97,QEC,2008,223.2558,34992.8008,2.4,548.4495,3.9494
98,QUX,2008,0.1773,34992.8008,2.4,1117.9712,1.1933
99,EMP.A,2008,-5.9452,34992.8008,2.4,1469.3582,1.3573
100,CIGI,2008,-45.1066,34992.8008,2.4,491.5575,1.6199
101,BPO,2008,-7.5362,34992.8008,2.4,8763.8555,2.9018
102,OTEX,2008,43.7548,34992.8008,2.4,1931.4788,2.8826
103,RBI1,2008,22.3214,34992.8008,2.4,1292.4991,2.4035
104,WFT,2008,0.5128,34992.8008,2.4,1564.864,0.8253
105,BB,2008,43.4098,34992.8008,2.4,73085.6406,15.6306
106,GO2,2008,-12.1739,34992.8008,2.4,1044.1118,1.6806
107,ROC,2008,32.3268,34992.8008,2.4,2029.2607,2980.0
108,TRE,2008,11.1111,34992.8008,2.4,3276.6401,2.5778
109,DII.B,2008,8.336,34992.8008,2.4,1128.4846,1.0484
110,SNC,2008,28.0193,34992.8008,2.4,7994.6792,8.1305
111,AGI2,2008,8.8496,34992.8008,2.4,586.9191,3.5201
112,ONEX,2008,-17.4855,34992.8008,2.4,3514.1624,2.1107
113,IMG,2008,-0.4267,34992.8008,2.4,2069.459,1.0757
114,MRU,2008,-15.5695,34992.8008,2.4,3257.272,1.6298
115,SU,2008,28.5412,34992.8008,2.4,56803.0664,4.184
116,ELD,2008,61.9962,34992.8008,2.4,2917.3196,5.4628
117,PRE,2008,46.0452,34992.8008,2.4,2173.9023,1.5071
118,CEF.A,2008,17.9647,34992.8008,2.4,1596.8523,0.9204
119,SJR.B,2008,-6.6069,34992.8008,2.4,9814.6426,4.5483
120,BCB,2009,247.5247,28923.5195,0.2,570.7702,1.4354
121,CAS,2009,1.8598,28923.5195,0.2,693.5919,0.5302
122,BLS1,2009,62.1502,28923.5195,0.2,3011.356,1.2671
123,CCT,2009,176.1259,28923.5195,0.2,1103.1102,4.5714
124,GRT.UN,2009,-34.8444,28923.5195,0.2,684.7393,0.3946
125,IMX,2009,35.0394,28923.5195,0.2,628.6058,19.6938
126,FFH,2009,59.7339,28923.5195,0.2,6254.7456,1.0831
127,FNX,2009,-40.6452,28923.5195,0.2,800.975,2.2032
128,DC.A,2009,-27.2792,28923.5195,0.2,857.0057,0.8269
129,DW1,2009,-24.0,28923.5195,0.2,1352.9553,1.6162
130,ATD.B,2009,44.3077,28923.5195,0.2,3446.6606,2.2637
131,CS,2009,-6.3658,28923.5195,0.2,544.6384,1.8202
132,PRE,2009,20.3095,28923.5195,0.2,2663.8655,1.7698
133,GMP,2009,-4.3296,28923.5195,0.2,877.637,3.427
134,NGD,2009,-33.5714,28923.5195,0.2,1325.183,0.7471
135,TCM,2009,-24.3844,28923.5195,0.2,1549.7383,1.6648
136,TKO,2009,-17.9567,28923.5195,0.2,482.574,1.8428
137,RMX,2009,81.5217,28923.5195,0.2,642.3812,4.4321
138,LUN,2009,-26.7717,28923.5195,0.2,2155.4937,0.6965
139,MRE,2009,-1.6438,28923.5195,0.2,602.5887,1.1276
140,BNK,2009,-18.5567,28923.5195,0.2,885.0291,4.3226
141,LGF,2009,-32.6985,28923.5195,0.2,841.3922,5.629
