Symbol,Date,Company,Return,MKTCAP,TRI,TB90,PB,MktPrm
1,2010-01-01,Khyber tobacco company ltd,0,7575,0.5832,0.39,14.00,0.1932
1,2010-02-01,Khyber tobacco company ltd,0,7252,0.683,0.39,9.00,0.293
1,2010-03-01,Khyber tobacco company ltd,0,7807,0.25,0.39,8.00,-0.14
1,2010-04-01,Khyber tobacco company ltd,0,1371,0.72,0.39,8.00,0.33
1,2010-05-01,Khyber tobacco company ltd,0,1733,0.654,0.39,1.00,0.264
1,2010-06-01,Khyber tobacco company ltd,0,2746,0.65,0.39,8.00,0.26
1,2010-07-01,Khyber tobacco company ltd,0,4654,254,0.39,3.00,253.61
1,2010-08-01,Khyber tobacco company ltd,0,1070,0.6,0.39,19.00,0.21
1,2010-09-01,Khyber tobacco company ltd,-0.111226,4177,0.3,0.39,8.00,-0.09
1,2010-10-01,Khyber tobacco company ltd,-0.060625,4558,0.785,0.39,10.00,0.395
1,2010-11-01,Khyber tobacco company ltd,0,9046,0.452,0.39,15.00,0.062
1,2010-12-01,Khyber tobacco company ltd,0.522136,5353,0.452,0.39,6.00,0.062
1,2011-01-01,Khyber tobacco company ltd,0.260623,6182,0.5832,1.25,3.00,-0.6668
1,2011-02-01,Khyber tobacco company ltd,-0.028988,5045,0.683,1.25,8.00,-0.567
1,2011-03-01,Khyber tobacco company ltd,0.028988,1042,0.25,1.25,15.00,-1
1,2011-04-01,Khyber tobacco company ltd,-0.154151,8434,0.72,1.25,10.00,-0.53
1,2011-05-01,Khyber tobacco company ltd,-0.051293,7066,0.654,1.25,14.00,-0.596
1,2011-06-01,Khyber tobacco company ltd,-0.009873,983,0.65,1.25,9.00,-0.6
1,2011-07-01,Khyber tobacco company ltd,-0.007826,7439,254,1.25,8.00,252.75
1,2011-08-01,Khyber tobacco company ltd,0,7412,0.6,1.25,9.00,-0.65
1,2011-09-01,Khyber tobacco company ltd,0,4121,0.3,1.25,18.00,-0.95
1,2011-10-01,Khyber tobacco company ltd,0,3169,0.785,1.25,8.00,-0.465
1,2011-11-01,Khyber tobacco company ltd,-0.098637,9801,0.452,1.25,19.00,-0.798
1,2011-12-01,Khyber tobacco company ltd,0,2112,0.5832,1.25,7.00,-0.6668
1,2012-01-01,Khyber tobacco company ltd,0,6905,0.683,0.4,7.00,0.283
1,2012-02-01,Khyber tobacco company ltd,0,9868,0.25,0.4,15.00,-0.15
1,2012-03-01,Khyber tobacco company ltd,0.340182,5519,0.72,0.4,17.00,0.32
1,2012-04-01,Khyber tobacco company ltd,0.212711,5532,0.654,0.4,11.00,0.254
1,2012-05-01,Khyber tobacco company ltd,0.036732,9633,0.65,0.4,16.00,0.25
1,2012-06-01,Khyber tobacco company ltd,0.092823,9650,254,0.4,11.00,253.6
1,2012-07-01,Khyber tobacco company ltd,-0.003992,9454,0.6,0.4,6.00,0.2
1,2012-08-01,Khyber tobacco company ltd,0,2630,0.3,0.4,7.00,-0.1
1,2012-09-01,Khyber tobacco company ltd,0,7682,0.785,0.4,10.00,0.385
1,2012-10-01,Khyber tobacco company ltd,0.013114,8682,0.452,0.4,10.00,0.052
1,2012-11-01,Khyber tobacco company ltd,0.217363,3256,0.452,0.4,9.00,0.052
1,2012-12-01,Khyber tobacco company ltd,0.807678,886,0.238496655,0.4,2.00,-0.161503345
2,2010-01-01,frontier ceramics ltd,-0.072571,17862,0.5832,0.39,1.00,0.1932
2,2010-02-01,frontier ceramics ltd,0.226721,7196,0.683,0.39,3.00,0.293
